Nazwa pliku: Data/kroB200.tsp
Powtórzenia algorytmu: 100
Optymalny koszt: 29437
Otrzymany koszt: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[s] ;Rozwi¹zania dla 0.999999 minimalnej temperatury
Rozwi¹zania dla 10 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.000426981
Œredni wspó³czynnik b³êdu [%]:  ; 472.602
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.000724429
Œredni wspó³czynnik b³êdu [%]:  ; 374.234
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00663434
Œredni wspó³czynnik b³êdu [%]:  ; 189.538
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0632802
Œredni wspó³czynnik b³êdu [%]:  ; 120.334
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.157691
Œredni wspó³czynnik b³êdu [%]:  ; 110.776
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0006752
Œredni wspó³czynnik b³êdu [%]:  ; 383.815
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00128873
Œredni wspó³czynnik b³êdu [%]:  ; 306.162
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0123143
Œredni wspó³czynnik b³êdu [%]:  ; 154.996
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.121614
Œredni wspó³czynnik b³êdu [%]:  ; 85.8286
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.303589
Œredni wspó³czynnik b³êdu [%]:  ; 69.5354
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.000976995
Œredni wspó³czynnik b³êdu [%]:  ; 336.787
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00187075
Œredni wspó³czynnik b³êdu [%]:  ; 268.134
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.018088
Œredni wspó³czynnik b³êdu [%]:  ; 115.506
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.178345
Œredni wspó³czynnik b³êdu [%]:  ; 55.8844
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.446133
Œredni wspó³czynnik b³êdu [%]:  ; 42.9148
Optymalny koszt:  ; 29437

Rozwi¹zania dla 5000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00118814
Œredni wspó³czynnik b³êdu [%]:  ; 331.104
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00226523
Œredni wspó³czynnik b³êdu [%]:  ; 262.644
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0219732
Œredni wspó³czynnik b³êdu [%]:  ; 115.811
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.217386
Œredni wspó³czynnik b³êdu [%]:  ; 56.6567
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.543523
Œredni wspó³czynnik b³êdu [%]:  ; 43.4202
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0012472
Œredni wspó³czynnik b³êdu [%]:  ; 327.687
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00244069
Œredni wspó³czynnik b³êdu [%]:  ; 258.532
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0235693
Œredni wspó³czynnik b³êdu [%]:  ; 118.958
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.233272
Œredni wspó³czynnik b³êdu [%]:  ; 56.2861
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.583869
Œredni wspó³czynnik b³êdu [%]:  ; 43.196
Optymalny koszt:  ; 29437

