Nazwa pliku: Data/kroB200.tsp
Powtórzenia algorytmu: 100
Optymalny koszt: 29437
Otrzymany koszt: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[s] ;Rozwi¹zania dla 0.99 minimalnej temperatury
Rozwi¹zania dla 10 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.000433121
Œredni wspó³czynnik b³êdu [%]:  ; 471.245
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.000747367
Œredni wspó³czynnik b³êdu [%]:  ; 381.112
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00653609
Œredni wspó³czynnik b³êdu [%]:  ; 185.892
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0630913
Œredni wspó³czynnik b³êdu [%]:  ; 121.974
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.157664
Œredni wspó³czynnik b³êdu [%]:  ; 111.547
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.000686433
Œredni wspó³czynnik b³êdu [%]:  ; 383.253
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00128532
Œredni wspó³czynnik b³êdu [%]:  ; 306.935
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0122319
Œredni wspó³czynnik b³êdu [%]:  ; 152.177
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.120943
Œredni wspó³czynnik b³êdu [%]:  ; 87.0164
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.301955
Œredni wspó³czynnik b³êdu [%]:  ; 69.711
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00099451
Œredni wspó³czynnik b³êdu [%]:  ; 335.826
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00186437
Œredni wspó³czynnik b³êdu [%]:  ; 264.902
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0179606
Œredni wspó³czynnik b³êdu [%]:  ; 116.056
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.177257
Œredni wspó³czynnik b³êdu [%]:  ; 54.7616
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.44344
Œredni wspó³czynnik b³êdu [%]:  ; 44.6257
Optymalny koszt:  ; 29437

Rozwi¹zania dla 5000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00116451
Œredni wspó³czynnik b³êdu [%]:  ; 328.115
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00225398
Œredni wspó³czynnik b³êdu [%]:  ; 262.557
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0218318
Œredni wspó³czynnik b³êdu [%]:  ; 117.114
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.216996
Œredni wspó³czynnik b³êdu [%]:  ; 57.9164
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.543595
Œredni wspó³czynnik b³êdu [%]:  ; 44.2593
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00127151
Œredni wspó³czynnik b³êdu [%]:  ; 328.017
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0024172
Œredni wspó³czynnik b³êdu [%]:  ; 261.317
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.023476
Œredni wspó³czynnik b³êdu [%]:  ; 114.737
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.231737
Œredni wspó³czynnik b³êdu [%]:  ; 56.5075
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.580657
Œredni wspó³czynnik b³êdu [%]:  ; 44.2645
Optymalny koszt:  ; 29437

