Nazwa pliku: Data/kroB200.tsp
Powtórzenia algorytmu: 100
Optymalny koszt: 29437
Otrzymany koszt: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[s] ;Rozwi¹zania dla 0.9999 minimalnej temperatury
Rozwi¹zania dla 10 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.000407613
Œredni wspó³czynnik b³êdu [%]:  ; 472.602
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00074249
Œredni wspó³czynnik b³êdu [%]:  ; 374.234
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00655637
Œredni wspó³czynnik b³êdu [%]:  ; 189.538
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0630056
Œredni wspó³czynnik b³êdu [%]:  ; 120.334
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.156856
Œredni wspó³czynnik b³êdu [%]:  ; 110.776
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00068091
Œredni wspó³czynnik b³êdu [%]:  ; 383.815
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00127593
Œredni wspó³czynnik b³êdu [%]:  ; 306.162
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0122612
Œredni wspó³czynnik b³êdu [%]:  ; 154.996
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.120503
Œredni wspó³czynnik b³êdu [%]:  ; 85.8286
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.302169
Œredni wspó³czynnik b³êdu [%]:  ; 69.5354
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.000972889
Œredni wspó³czynnik b³êdu [%]:  ; 336.787
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00185262
Œredni wspó³czynnik b³êdu [%]:  ; 268.134
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0179629
Œredni wspó³czynnik b³êdu [%]:  ; 115.506
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.1776
Œredni wspó³czynnik b³êdu [%]:  ; 55.8844
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.442855
Œredni wspó³czynnik b³êdu [%]:  ; 42.9148
Optymalny koszt:  ; 29437

Rozwi¹zania dla 5000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00115839
Œredni wspó³czynnik b³êdu [%]:  ; 331.104
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00225448
Œredni wspó³czynnik b³êdu [%]:  ; 262.644
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0217594
Œredni wspó³czynnik b³êdu [%]:  ; 115.811
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.21531
Œredni wspó³czynnik b³êdu [%]:  ; 56.6567
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.538469
Œredni wspó³czynnik b³êdu [%]:  ; 43.4202
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10000 inicjalizacyjnej temperatury
Rozwi¹zania dla 5 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00125709
Œredni wspó³czynnik b³êdu [%]:  ; 327.687
Optymalny koszt:  ; 29437

Rozwi¹zania dla 10 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.00243606
Œredni wspó³czynnik b³êdu [%]:  ; 258.532
Optymalny koszt:  ; 29437

Rozwi¹zania dla 100 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.0234098
Œredni wspó³czynnik b³êdu [%]:  ; 118.958
Optymalny koszt:  ; 29437

Rozwi¹zania dla 1000 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.231737
Œredni wspó³czynnik b³êdu [%]:  ; 56.2861
Optymalny koszt:  ; 29437

Rozwi¹zania dla 2500 iloœci epok
Œredni czas wykonywania algorytmu [s]:  ; 0.581721
Œredni wspó³czynnik b³êdu [%]:  ; 43.196
Optymalny koszt:  ; 29437

